model_name,layer_count,parameter_count,total_feature_count,imagenet_top1,imagenet_top5,brain_score
alexnet,18,61100840,1075688,43.45,20.91,0.32429021199999997
vgg11,26,132863336,16399848,30.98,11.37,
vgg13,30,133047848,26033640,30.07,10.75,
vgg16,36,138357544,28642792,28.41,9.62,0.34200869100000003
vgg19,42,143667240,31251944,27.62,9.12,0.342096768
vgg11_bn,34,132868840,23825896,29.62,10.19,
vgg13_bn,40,133053736,38276584,28.45,9.63,
vgg16_bn,49,138365992,42190312,26.63,8.5,
vgg19_bn,58,143678248,46104040,25.76,8.15,
resnet18,60,11689512,7477736,30.24,10.92,0.34994673299999995
resnet34,108,21797672,11240936,26.7,8.58,0.34383932899999997
resnet50,158,25557032,32040424,23.85,7.13,0.36357874100000004
resnet101,311,44549160,47394280,22.63,6.44,0.36466118
resnet152,464,60192808,66360808,21.69,5.94,0.36292060600000003
squeezenet1_0,64,1248424,11945848,41.9,19.58,0.29096129
squeezenet1_1,64,1235496,6960376,41.81,19.38,0.308516645
densenet121,370,7978856,40016360,25.35,7.83,0.358620416
densenet161,490,28681000,72691912,22.35,6.2,
densenet169,514,14149480,47185256,24.0,7.0,0.364866221
densenet201,610,20013928,59214952,22.8,6.43,0.36270878799999995
googlenet,195,6624904,12333560,30.22,10.47,
shufflenet_v2_x0_5,167,1366792,3284392,,,
shufflenet_v2_x1_0,167,2278604,6283192,30.64,11.68,
mobilenet_v2,151,3504872,19680680,28.12,9.71,
resnext50_32x4d,158,25028904,41900008,22.38,6.3,
resnext101_32x8d,311,88791336,92326888,20.69,5.47,
wide_resnet50_2,158,68883240,41900008,21.49,5.91,
wide_resnet101_2,311,126886696,62371816,21.16,5.72,
mnasnet0_5,151,2218512,8999464,,,
mnasnet1_0,151,4383312,16005288,26.49,8.456,0.32344439399999997
