area,layer,mean,sem
VISal,layer23,0.8743490139374022,0.0019863325340999617
VISal,layer4,0.8899802269288601,0.004341397483571111
VISal,layer5,0.7431205446352767,0.007555259179960809
VISam,layer23,0.8145588292927096,0.003914640796772994
VISam,layer4,0.8023176260716427,0.003083574950753328
VISam,layer5,0.6134751149415125,0.016432023633646174
VISl,layer23,0.9305246329368402,0.0023237938255183405
VISl,layer4,0.8702096077162818,0.0015031714765511356
VISl,layer5,0.9160057715854787,0.0011711368983268195
VISl,layer6,0.6041835810588094,0.009705192920506964
VISp,layer23,0.9214628304875211,0.0011764219256067358
VISp,layer4,0.9157351821964559,0.002010415499550054
VISp,layer5,0.9100691871913933,0.0008966187459523424
VISp,layer6,0.5077643456205769,0.00928623500641195
VISpm,layer23,0.887514693828602,0.0028515400579451873
VISpm,layer4,0.7372536925784171,0.004779485952664748
VISpm,layer5,0.6896469292613474,0.002047203444379488
VISpm,layer6,0.5032594719031722,0.0067847576754567615
VISrl,layer23,0.7320476720234914,0.00810794263189848
VISrl,layer4,0.4572826137949916,0.01491056438419399
VISrl,layer5,0.1270902760890348,0.00910074483126819
